X,cosQLeft 
0,0.00000000000000003971711848294035034729985933247755 
1,0.00000000000000004569233880147294051283156551594740 
2,0.00000000000000005211164832985559985193899901631421 
3,0.00000000000000005132783087447023814519210043796680 
4,0.00000000000000005735634189818483365332449932067001 
5,0.00000000000000005801803482086143542772741039462399 
6,0.00000000000000005755174115051885940583619459034708 
7,0.00000000000000005978995076816318240267844058462409 
8,0.00000000000000006508349414957592264219186470639915 
9,0.00000000000000006378231276471524443062899716333534 
10,0.00000000000000006398215290914777525058928335398123 
11,0.00000000000000006416867037728480319415544086003010 
12,0.00000000000000006813660746729511200304203553003172 
13,0.00000000000000007021716541544265301687903276962885 
14,0.00000000000000007119194123106354157166485773583924 
15,0.00000000000000007189360218262663964929851078527483 
16,0.00000000000000007143619029648107376230447682293558 
17,0.00000000000000007324807427266932936643789306672674 
18,0.00000000000000007811307156657676200546983605584102 
19,0.00000000000000007441824934062424367373541330261420 
