X,cosQRight 
0,0.00000000000000000003552713678800501219978449945925 
1,0.00000000000000000025979218776228663779307103855985 
2,0.00000000000000000069055872131684734977783094787581 
3,0.00000000000000000122568621918617276140149171177599 
4,0.00000000000000000177857728544950072426402779698163 
5,0.00000000000000000342392780794398269942247956161946 
6,0.00000000000000000349054118942149245916125645523853 
7,0.00000000000000000660360655047043089708940677145956 
8,0.00000000000000000705213665241899358253405868591023 
9,0.00000000000000000724975635080227186877004941607172 
10,0.00000000000000001350475287154040394965099185861487 
11,0.00000000000000001411315508903499113698947717460339 
12,0.00000000000000001392219672879946428895055078674042 
13,0.00000000000000001448174913321054195667320126573231 
14,0.00000000000000002211564265053311697375748789843701 
15,0.00000000000000002645217378471897968381571767914491 
16,0.00000000000000002613687044572543420673268628724936 
17,0.00000000000000002588373959611089804417170739737010 
18,0.00000000000000002535083254429082304774940326799490 
19,0.00000000000000002440936341940869168394890001327707 
