X,cosTaylorLeft 
0,0.00000000000000003971711848294035034729985933247755 
1,0.00000000000000004569233880147294051283156551594740 
2,0.00000000000000005211164832985559985193899901631421 
3,0.00000000000000005132783087447023814519210043796680 
4,0.00000000000000005736300323633259125449738570212325 
5,0.00000000000000005802469615900918070294865269776777 
6,0.00000000000000005756728427286361481595461873542852 
7,0.00000000000000005978328943001542480150555420317084 
8,0.00000000000000006511235994821618092870441753607761 
9,0.00000000000000006378675365681374949807758808430416 
10,0.00000000000000006400879826173878100337754072317528 
11,0.00000000000000006419309528382655641321940276873974 
12,0.00000000000000006820544129482186659278533033519179 
13,0.00000000000000007024825166013215151116423698148227 
14,0.00000000000000007124079104414704800979278155325851 
15,0.00000000000000007204015162187715896368228223753263 
16,0.00000000000000007164047133301209732376170985624084 
17,0.00000000000000007343237129475710477627975511229120 
18,0.00000000000000007823741654533478063451394105987360 
19,0.00000000000000007451816941284050908371555639793714 
