X,cosTayloRright 
0,0.00000000000000000003552713678800501219978449945925 
1,0.00000000000000000025979218776228663779307103855985 
2,0.00000000000000000069055872131684734977783094787581 
3,0.00000000000000000122346577313692253879312951597460 
4,0.00000000000000000177635683940025050165566560118024 
5,0.00000000000000000343058914609173375243355502647080 
6,0.00000000000000000348832074337224146618091650454280 
7,0.00000000000000000661914967281518322571991989696364 
8,0.00000000000000000704103442217274323986422546179762 
9,0.00000000000000000722089055216201820448936311575930 
10,0.00000000000000001356692536091941326417304436063117 
11,0.00000000000000001413313910347824237009275918192156 
12,0.00000000000000001397104654188297072707847460415969 
13,0.00000000000000001437960861494502709445667372950231 
14,0.00000000000000002225775119768513738366849046888072 
15,0.00000000000000002642996932422647591698814021134233 
16,0.00000000000000002610800464708518208319595549672563 
17,0.00000000000000002588373959611089804417170739737010 
18,0.00000000000000002539746191132508003364094264450711 
19,0.00000000000000002460698311779196997018489074343855 
